Username,group,password
adolfo.carlos,DBA,SuperDificil$$123
aguinaldo.balsemao,RedesAdmin,SuperDificil$$123
alda.lage,CloudAdmin,SuperDificil$$123
amelia.penteado,LinuxAdmin,SuperDificil$$123
anacleto.abrantes,DBA,SuperDificil$$123
angelino.marinho,DBA,SuperDificil$$123
arachane.dinis,DBA,SuperDificil$$123
armando.pirassununga,DBA,SuperDificil$$123
astolfo.cerveira,DBA,SuperDificil$$123
augusta.gusmao,DBA,SuperDificil$$123
boaventura.trindade,DBA,SuperDificil$$123
bras.vides,DBA,SuperDificil$$123
bruna.muniz,DBA,SuperDificil$$123
capitolina.garrido,DBA,SuperDificil$$123
carina.salles,DBA,SuperDificil$$123
caua.setubal,DBA,SuperDificil$$123
celeste.moreira,DBA,SuperDificil$$123
celso.torres,DBA,SuperDificil$$123
cesar.matos,LinuxAdmin,SuperDificil$$123
cleiton.frois,DBA,SuperDificil$$123
cristiana.dornelles,DBA,SuperDificil$$123
debora.ferreyra,LinuxAdmin,SuperDificil$$123
deolindo.ourique,LinuxAdmin,SuperDificil$$123
diamantino.raposo,LinuxAdmin,SuperDificil$$123
donato.gama,LinuxAdmin,SuperDificil$$123
doroteia.robalo,LinuxAdmin,SuperDificil$$123
egas.malta,LinuxAdmin,SuperDificil$$123
emiliana.bicudo,LinuxAdmin,SuperDificil$$123
esperanca.carrasco,LinuxAdmin,SuperDificil$$123
eudes.bogado,LinuxAdmin,SuperDificil$$123
fausto.doutel,LinuxAdmin,SuperDificil$$123
filipa.holanda,LinuxAdmin,SuperDificil$$123
filipe.henriques,LinuxAdmin,SuperDificil$$123
gil.pinhal,LinuxAdmin,SuperDificil$$123
gilda.maior,LinuxAdmin,SuperDificil$$123
giovana.carballo,LinuxAdmin,SuperDificil$$123
glauber.feijo,LinuxAdmin,SuperDificil$$123
glaucia.pitangui,LinuxAdmin,SuperDificil$$123
godofredo.carvalhal,LinuxAdmin,SuperDificil$$123
goncalo.balladares,LinuxAdmin,SuperDificil$$123
graciano.vianna,LinuxAdmin,SuperDificil$$123
gui.maior,LinuxAdmin,SuperDificil$$123
guterre.milheiro,LinuxAdmin,SuperDificil$$123
guterre.pastana,LinuxAdmin,SuperDificil$$123
hedviges.velasquez,LinuxAdmin,SuperDificil$$123
helena.acatauacu,LinuxAdmin,SuperDificil$$123
hermigio.rosa,LinuxAdmin,SuperDificil$$123
ibijara.capiperibe,RedesAdmin,SuperDificil$$123
ifigenia.homem,RedesAdmin,SuperDificil$$123
iracema.bento,RedesAdmin,SuperDificil$$123
jandaira.escobar,RedesAdmin,SuperDificil$$123
jeremias.paula,RedesAdmin,SuperDificil$$123
lavinia.delgado,RedesAdmin,SuperDificil$$123
ligia.palhares,RedesAdmin,SuperDificil$$123
lino.belmonte,RedesAdmin,SuperDificil$$123
lopo.camacho,RedesAdmin,SuperDificil$$123
luisa.ramirez,RedesAdmin,SuperDificil$$123
mario.briao,RedesAdmin,SuperDificil$$123
melissa.queiroz,RedesAdmin,SuperDificil$$123
mem.regueira,RedesAdmin,SuperDificil$$123
morgana.valgueiro,RedesAdmin,SuperDificil$$123
natalia.terra,RedesAdmin,SuperDificil$$123
nazare.verissimo,RedesAdmin,SuperDificil$$123
noe.betancour,RedesAdmin,SuperDificil$$123
noemia.sarmento,RedesAdmin,SuperDificil$$123
olavo.borges,RedesAdmin,SuperDificil$$123
oliveira.sobral,RedesAdmin,SuperDificil$$123
oriana.viveiros,RedesAdmin,SuperDificil$$123
paraguacu.ipanema,RedesAdmin,SuperDificil$$123
placido.medeiros,RedesAdmin,SuperDificil$$123
porfirio.azenha,RedesAdmin,SuperDificil$$123
potira.ferraco,RedesAdmin,SuperDificil$$123
quiteria.xavier,RedesAdmin,SuperDificil$$123
raquel.paredes,Estagiarios,SuperDificil$$123
ruca.conde,Estagiarios,SuperDificil$$123
salvador.vasquez,Estagiarios,SuperDificil$$123
sancha.pino,Estagiarios,SuperDificil$$123
sandro.alvarenga,Estagiarios,SuperDificil$$123
sebastiana.peres,Estagiarios,SuperDificil$$123
sebastiao.vasconcelos,Estagiarios,SuperDificil$$123
severino.martins,Estagiarios,SuperDificil$$123
sidonio.ramirez,Estagiarios,SuperDificil$$123
simone.velasco,Estagiarios,SuperDificil$$123
socorro.brum,Estagiarios,SuperDificil$$123
sofia.siqueira,Estagiarios,SuperDificil$$123
sonas.modesto,Estagiarios,SuperDificil$$123
sonia.telles,Estagiarios,SuperDificil$$123
teodorico.guilheiro,Estagiarios,SuperDificil$$123
tobias.piraja,Estagiarios,SuperDificil$$123
trajano.santanna,Estagiarios,SuperDificil$$123
ubajara.guerreiro,Estagiarios,SuperDificil$$123
vania.paredes,CloudAdmin,SuperDificil$$123
vera.andrade,Estagiarios,SuperDificil$$123
viriato.albernaz,Estagiarios,SuperDificil$$123
xenia.peres,CloudAdmin,SuperDificil$$123
zelia.ferrao,CloudAdmin,SuperDificil$$123
zidane.espargosa,CloudAdmin,SuperDificil$$123
zilda.pastana,CloudAdmin,SuperDificil$$123
zulmira.paixao,CloudAdmin,SuperDificil$$123
zuriel.losada,CloudAdmin,SuperDificil$$123
